lat,lng
-27.352303,152.97261
-27.352308,152.972643
-27.352341,152.972861
-27.352403,152.973004
-27.352452,152.973063
-27.352518,152.973159
-27.352622,152.973342
-27.352696,152.973458
-27.352819,152.973639
-27.352975,152.973679
-27.353156,152.973672
-27.353185,152.973659
-27.353338,152.973606
-27.353377,152.973608
-27.3535,152.973623
-27.353693,152.973586
-27.353717,152.97358
-27.353898,152.973576
-27.354061,152.973605
-27.354262,152.973603
-27.354451,152.973613
-27.35462,152.973605
-27.354801,152.973583
-27.354975,152.973525
-27.355162,152.973427
-27.355195,152.973408
-27.355319,152.973355
-27.355451,152.973331
-27.355585,152.973274
-27.355608,152.973247
-27.3557,152.973071
-27.35571,152.973031
-27.355769,152.972885
-27.355797,152.972825
-27.35586,152.972656
-27.355926,152.972463
-27.355937,152.972433
-27.35605,152.972227
-27.356118,152.972034
-27.356128,152.971998
-27.356153,152.971818
-27.356202,152.971614
-27.356217,152.971583
-27.356302,152.971489
-27.356355,152.971445
-27.356486,152.971303
-27.356562,152.971193
-27.356584,152.971167
-27.356611,152.971141
-27.356734,152.971002
-27.356834,152.970813
-27.356853,152.970782
-27.356953,152.970589
-27.356987,152.970523
-27.357104,152.970348
-27.357216,152.970149
-27.357251,152.970078
-27.357295,152.969842
-27.357333,152.969734
-27.357272,152.969663
-27.357279,152.969645
-27.357291,152.969615
-27.357331,152.969506
-27.357348,152.969469
-27.35745,152.969298
-27.357508,152.9692
-27.35752,152.969168
-27.357544,152.969099
-27.357624,152.968893
-27.3577,152.968676
-27.357714,152.968646
-27.357827,152.968525
-27.357912,152.96833
-27.358003,152.968134
-27.35802,152.968103
-27.358098,152.967929
-27.358197,152.967735
-27.358213,152.967701
-27.358308,152.967504
-27.358344,152.967442
-27.358442,152.967252
-27.358458,152.96722
-27.358533,152.967023
-27.358529,152.966948
-27.358614,152.966746
-27.358648,152.966517
-27.358655,152.966478
-27.358662,152.966439
-27.358681,152.966293
-27.35868,152.966222
-27.358681,152.966048
-27.358677,152.965976
-27.35865,152.965836
-27.358634,152.965767
-27.358627,152.965734
-27.358555,152.965532
-27.358462,152.965323
-27.358445,152.96529
-27.358427,152.965258
-27.358336,152.965101
-27.358207,152.96493
-27.35818,152.964903
-27.35808,152.964788
-27.357983,152.964686
-27.357815,152.964643
-27.357644,152.964713
-27.357484,152.964863
-27.357459,152.964886
-27.357292,152.965027
-27.357117,152.965106
-27.357086,152.965118
-27.356997,152.96515
-27.356901,152.965167
-27.356724,152.965207
-27.356694,152.965218
-27.356512,152.965275
-27.356482,152.965285
-27.356454,152.965295
-27.356397,152.965316
-27.356288,152.965364
-27.356261,152.965374
-27.356142,152.965399
-27.35608,152.965393
-27.356016,152.965382
-27.355887,152.965331
-27.355855,152.965317
-27.355669,152.965219
-27.355603,152.965187
-27.355416,152.965102
-27.355334,152.965034
-27.355278,152.964933
-27.355237,152.964767
-27.355232,152.964723
-27.355236,152.964559
-27.355239,152.964481
-27.355247,152.964252
-27.355255,152.964094
-27.355249,152.963855
-27.355246,152.963817
-27.355228,152.963575
-27.355203,152.963498
-27.355106,152.963319
-27.355085,152.963243
-27.355089,152.96306
-27.355209,152.962859
-27.355234,152.96283
-27.355373,152.962702
-27.355405,152.962686
-27.355588,152.962598
-27.355645,152.96257
-27.355758,152.962509
-27.355898,152.962428
-27.356064,152.962296
-27.356089,152.962266
-27.356113,152.962234
-27.35618,152.962133
-27.356202,152.962058
-27.356163,152.961914
-27.356056,152.96172
-27.355947,152.96152
-27.355879,152.961328
-27.355881,152.961295
-27.355982,152.961112
-27.356126,152.961038
-27.356153,152.961027
-27.35618,152.961019
-27.356369,152.961021
-27.356566,152.961038
-27.356627,152.961048
-27.356814,152.961046
-27.357005,152.961001
-27.357069,152.960976
-27.357103,152.960963
-27.357161,152.960938
-27.357304,152.960854
-27.357468,152.960741
-27.357493,152.960719
-27.35752,152.960695
-27.357679,152.960539
-27.357828,152.960374
-27.357859,152.960354
-27.357887,152.960333
-27.357967,152.960267
-27.358037,152.960196
-27.358207,152.960054
-27.358232,152.960028
-27.358365,152.959901
-27.358475,152.959745
-27.358588,152.959614
-27.358616,152.959599
-27.35877,152.959556
-27.358948,152.959532
-27.359095,152.959421
-27.359211,152.959265
-27.359227,152.959229
-27.359338,152.959079
-27.359488,152.959059
-27.359671,152.95904
-27.359705,152.959036
-27.359911,152.959
-27.360014,152.958967
-27.360171,152.958909
-27.360352,152.958822
-27.360525,152.958732
-27.360548,152.958743
-27.360612,152.958819
-27.360762,152.958985
-27.360794,152.959013
-27.360915,152.959153
-27.360886,152.959287
-27.360814,152.959501
-27.360737,152.959713
-27.360646,152.959841
-27.360502,152.959962
-27.360342,152.960077
-27.360191,152.960235
-27.360161,152.960256
-27.359994,152.960395
-27.359863,152.960574
-27.359805,152.960683
-27.359773,152.960751
-27.359682,152.960956
-27.35967,152.960993
-27.359574,152.961159
-27.359402,152.961286
-27.359376,152.961311
-27.359236,152.961427
-27.359236,152.961427
-27.358962,152.961734
-27.358941,152.961927
-27.359018,152.96205
-27.359049,152.962086
-27.359207,152.962247
-27.35927,152.962301
-27.359426,152.962422
-27.359479,152.962452
-27.359647,152.962586
-27.359801,152.962704
-27.359828,152.962725
-27.359983,152.962865
-27.360148,152.96299
-27.360214,152.963037
-27.360363,152.963154
-27.360415,152.963199
-27.360575,152.963322
-27.360723,152.963425
-27.360749,152.963445
-27.360797,152.963487
